no	pattern_name	attributes	algorithm	id	plus_month_rate	plus_days_rate	description	bettype	bet_kumiban	pattern	ranktype	waku	betcnt	hitcnt	betamt	hitamt	incomeamt	hitrate	incomerate	daily_betamt	daily_hitamt	daily_incomeamt	avg_hitamt	dev_hitamt	max_hitamt	total_month	total_days
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.57	0.37	0049	1T	3	11	norm1t_23	36	79	26	7900	12670	4770	0.33	1.60	10	17	7	438	353	1800	21	65
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.47	0.42	0049	2T	13	20	norm2t_3	5	47	20	4700	5730	1030	0.43	1.22	6	7	1	287	55	370	17	45
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.48	0.45	0049	2T	13	20	norm2t_3	6	82	36	8200	9790	1590	0.44	1.19	11	13	2	269	79	540	23	75
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.61	0.47	0049	3F	123	14	norm3f_123	123	36	17	3600	5520	1920	0.47	1.53	4	7	3	314	156	650	18	32
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.55	0.47	0049	3F	123	24	norm3f_123	123	62	29	6200	7580	1380	0.47	1.22	8	10	2	258	113	550	22	55
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.57	0.22	0049	3F	126	11	norm3f_123	126	103	20	10300	16100	5800	0.19	1.56	14	22	8	796	367	1830	23	89
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.48	0.20	0049	3F	136	20	norm3f_12	13	82	15	8200	14370	6170	0.18	1.75	11	19	8	958	492	1820	23	75
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.48	0.20	0049	3F	136	20	norm3f_123	136	82	15	8200	14370	6170	0.18	1.75	11	19	8	958	492	1820	23	75
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.64	0.45	0049	2F	14	06	norm2f_12	41	20	9	2000	4250	2250	0.45	2.13	2	5	3	472	166	810	11	20
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.58	0.20	0049	2F	16	17	norm2f_12	16	137	23	13700	25340	11640	0.17	1.85	18	34	16	1043	722	3020	24	110
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.57	0.22	0049	3F	126	11	norm3f_12	12	103	20	10300	16100	5800	0.19	1.56	14	22	8	796	367	1830	23	89
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.57	0.18	0049	3T	126	11	norm3t_0	0	103	16	10300	23010	12710	0.16	2.23	14	31	17	1459	676	2900	23	89
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.54	0.50	0049	2F	13	20	norm2f_12	13	243	112	24300	26320	2020	0.46	1.08	33	36	3	238	72	400	24	195
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.38	0.25	0049	2F	34	17	norm2f_12	34	62	15	6200	10510	4310	0.24	1.70	8	14	6	677	352	1320	21	56
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.61	0.47	0049	3F	123	14	norm3f_12	12	36	17	3600	5520	1920	0.47	1.53	4	7	3	314	156	650	18	32
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.55	0.47	0049	3F	123	24	norm3f_12	12	62	29	6200	7580	1380	0.47	1.22	8	10	2	258	113	550	22	55
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.57	0.44	0049	3T	13=	20	form3t4_3	6	328	36	32800	44990	12190	0.11	1.37	44	61	17	1260	662	4060	23	75
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.44	0.40	0062	3F	126	1_B1	norm3f_12	21	10	4	1000	5120	4120	0.40	5.12	1	7	6	1280	319	1630	9	10
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.44	0.40	0062	3F	126	1_B1	norm3f_123	216	10	4	1000	5120	4120	0.40	5.12	1	7	6	1280	319	1630	9	10
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.50	0.12	0062	3T	126	3_A2	norm3t_0	0	335	33	33500	44090	10590	0.10	1.32	45	60	15	1273	669	3230	24	257
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.54	0.56	0062	1T	1	3_A2	norm1t_23	23	750	458	75000	79770	4770	0.61	1.06	102	109	7	170	80	840	24	416
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.63	0.48	0062	1T	1	3_B1	norm1t_23	36	248	115	24800	27440	2640	0.46	1.11	34	37	3	236	125	780	24	187
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.58	0.44	0062	1T	1	3_B1	norm1t_23	44	298	124	29800	32780	2980	0.42	1.10	40	44	4	256	155	1060	24	226
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.65	0.66	0062	1T	1	7_B1	norm1t_23	16	87	55	8700	11380	2680	0.63	1.31	11	15	4	201	118	690	23	76
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.63	0.52	0062	1T	1	7_B1	norm1t_23	35	278	142	27800	30670	2870	0.51	1.10	38	42	4	211	112	940	24	217
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.61	0.56	0062	1T	1	7_B1	norm1t_23	45	129	71	12900	16380	3480	0.55	1.27	17	22	5	229	131	730	23	115
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.75	0.54	0062	1T	2	3_B1	norm1t_23	33	32	18	3200	4510	1310	0.56	1.41	4	6	2	251	96	440	16	28
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.44	0.34	0062	2T	15	2_A2	norm2t_3	6	33	11	3300	5000	1700	0.33	1.52	4	6	2	452	89	640	18	32
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.57	0.27	0062	2T	16	7_A2	norm2t_3	6	114	27	11400	14190	2790	0.24	1.24	15	19	4	526	215	1070	23	100
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.33	0.30	0062	2T	23	3_B1	norm2t_3	4	38	11	3800	8690	4890	0.29	2.29	5	11	6	790	350	1400	21	37
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.32	0.27	0062	2F	12	1_B1	norm2f_12	21	35	10	3500	6570	3070	0.29	1.88	4	9	5	628	261	1100	19	30
17	turn+level1	ranknationrate	bayes	b_r_turn+level	0.50	0.22	0062	3T	123	3_A2	norm3t_0	0	750	100	75000	82120	7120	0.13	1.09	102	112	10	788	439	2580	24	416
13	racetype	ranknationrate	bayes	b_r_racetype	0.78	0.67	0063	1T	1	2	norm1t_23	55	127	85	12700	15280	2580	0.67	1.20	17	20	3	177	106	770	23	113
13	racetype	ranknationrate	bayes	b_r_racetype	0.79	0.62	0063	1T	2	4	norm1t_23	24	21	13	2100	3320	1220	0.62	1.58	2	4	2	259	99	470	14	21
13	racetype	ranknationrate	bayes	b_r_racetype	0.50	0.32	0063	2F	23	3	norm2f_12	23	161	46	16100	18870	2770	0.29	1.17	22	25	3	412	183	850	24	140
13	racetype	ranknationrate	bayes	b_r_racetype	0.58	0.42	0063	2T	14	7	norm2t_3	4	19	8	1900	3470	1570	0.42	1.83	2	4	2	434	120	590	12	19
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.55	0.39	0064	2T	1=	5_3	form2t2_23	26	72	17	7200	11870	4670	0.24	1.65	9	16	7	661	459	1640	20	36
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.48	0.38	0064	2T	12	7_3	norm2t_3	3	108	39	10800	13590	2790	0.36	1.26	14	18	4	335	169	1030	23	98
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.52	0.44	0064	2T	12	7_5	norm2t_3	3	59	25	5900	7690	1790	0.42	1.30	8	10	2	303	115	660	21	55
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.50	0.46	0064	2T	14	5_1	norm2t_3	2	30	13	3000	5230	2230	0.43	1.74	4	7	3	387	162	890	14	28
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.55	0.32	0064	2T	16	4_1	norm2t_3	6	19	6	1900	4920	3020	0.32	2.59	2	6	4	733	218	1080	11	19
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.38	0.31	0064	2T	34	1_2	norm2t_3	5	16	5	1600	9760	8160	0.31	6.10	2	13	11	1952	1110	3120	13	16
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.54	0.35	0064	3F	123	3_3	norm3f_123	132	82	27	8200	13510	5310	0.33	1.65	11	18	7	504	424	1650	24	77
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.71	0.52	0064	3F	125	2_1	norm3f_12	15	27	14	2700	6620	3920	0.52	2.45	3	9	6	469	146	770	17	27
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.48	0.32	0064	3F	134	7_1	norm3f_123	134	61	19	6100	8870	2770	0.31	1.45	8	12	4	463	254	1080	21	57
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.24	0.15	0064	3F	236	3_3	norm3f_123	326	27	4	2700	15500	12800	0.15	5.74	3	21	18	3875	1351	4970	17	27
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.68	0.77	0064	1T	1	3_3	norm1t_23	45	38	30	3800	4480	680	0.79	1.18	5	6	1	150	42	260	19	35
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.70	0.78	0064	1T	1	3_4	norm1t_23	26	58	46	5800	8350	2550	0.79	1.44	7	11	4	177	111	750	23	55
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	1.00	0.95	0064	1T	1	5_1	norm1t_23	33	37	35	3700	4510	810	0.95	1.22	5	6	1	129	46	260	18	37
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.75	0.80	0064	1T	1	5_3	norm1t_23	42	47	38	4700	5280	580	0.81	1.12	6	7	1	139	32	210	20	44
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.53	0.52	0064	1T	2	1_3	norm1t_23	42	26	13	2600	5370	2770	0.50	2.07	3	7	4	413	304	1050	15	25
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.86	0.64	0064	1T	2	4_4	norm1t_23	66	11	7	1100	3160	2060	0.64	2.87	1	4	3	424	223	810	7	11
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.56	0.53	0064	1T	3	2_3	norm1t_23	43	15	8	1500	3050	1550	0.53	2.03	2	4	2	382	114	570	9	15
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.64	0.50	0064	1T	4	3_4	norm1t_23	43	19	9	1900	3850	1950	0.47	2.03	2	5	3	428	149	720	14	18
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.71	0.52	0064	3F	125	2_1	norm3f_123	152	27	14	2700	6620	3920	0.52	2.45	3	9	6	469	146	770	17	27
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.61	0.53	0064	1T	2	2_3	norm1t_23	21	49	26	4900	6870	1970	0.53	1.40	6	9	3	258	132	580	23	49
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.60	0.54	0064	1T	2	2_3	norm1t_23	64	24	13	2400	6050	3650	0.54	2.52	3	8	5	465	365	1290	15	24
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.46	0.35	0064	1T	2	7_2	norm1t_23	41	26	9	2600	5040	2440	0.35	1.94	3	6	3	525	257	940	13	26
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.59	0.44	0064	1T	3	7_2	norm1t_23	51	25	11	2500	5190	2690	0.44	2.08	3	7	4	432	218	900	17	25
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.46	0.38	0064	2T	3=	1_2	form2t2_23	45	32	6	3200	11110	7910	0.19	3.47	4	15	11	1852	1038	3120	13	16
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.54	0.35	0064	3F	123	3_3	norm3f_12	13	82	27	8200	13510	5310	0.33	1.65	11	18	7	504	424	1650	24	77
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.48	0.32	0064	3F	134	7_1	norm3f_12	13	61	19	6100	8870	2770	0.31	1.45	8	12	4	463	254	1080	21	57
26	turn+alevelcnt	entry	filter_bayes	f_e_turn+aleve	0.24	0.15	0064	3F	236	3_3	norm3f_12	32	27	4	2700	15500	12800	0.15	5.74	3	21	18	3875	1351	4970	17	27
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.75	0.67	0065	1T	4	4_2	norm1t_23	13	9	6	900	4560	3660	0.67	5.07	1	6	5	760	369	1420	8	9
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.59	0.47	0065	2F	12	3_7	norm2f_12	12	63	28	6300	8030	1730	0.44	1.27	8	11	3	282	126	590	22	60
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.65	0.61	0065	2F	12	4_5	norm2f_12	21	43	25	4300	7550	3250	0.58	1.76	5	10	5	292	226	1140	20	41
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.50	0.36	0065	2T	1=	3_12	form2t2_23	56	70	12	7000	12180	5180	0.17	1.74	9	16	7	974	409	1740	18	33
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.57	0.39	0065	2T	12	3_12	norm2t_3	3	67	26	6700	8110	1410	0.39	1.21	9	11	2	312	99	550	23	66
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.67	0.64	0065	2T	12	4_11	norm2t_3	2	11	7	1100	2580	1480	0.64	2.35	1	3	2	356	132	580	9	11
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.40	0.45	0065	2T	26	3_8	norm2t_3	1	11	5	1100	3560	2460	0.45	3.24	1	4	3	712	126	880	10	11
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.60	0.45	0065	3F	123	7_11	norm3f_12	12	56	24	5600	7700	2100	0.43	1.38	7	10	3	315	107	620	20	53
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.50	0.38	0065	3F	126	2_7	norm3f_12	21	13	5	1300	4470	3170	0.38	3.44	1	6	5	894	359	1240	10	13
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.50	0.38	0065	3F	126	2_7	norm3f_123	216	13	5	1300	4470	3170	0.38	3.44	1	6	5	894	359	1240	10	13
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.46	0.44	0065	3F	134	5_10	norm3f_123	143	18	8	1800	4410	2610	0.44	2.45	2	6	4	551	211	890	13	18
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.57	0.37	0065	3T	12=	2_12	form3t4_3	3	240	22	24000	36490	12490	0.09	1.52	32	50	18	1627	986	4460	21	57
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.67	0.67	0065	2T	1=	1_1	form2t2_23	53	30	10	3000	4920	1920	0.33	1.64	4	6	2	492	134	660	12	15
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.95	0.97	0065	1T	1	7_7	norm1t_23	43	29	28	2900	4480	1580	0.97	1.54	3	6	3	156	74	460	20	29
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.53	0.56	0065	2F	12	1_11	norm2f_12	21	33	18	3300	4350	1050	0.55	1.32	4	5	1	249	71	390	19	32
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.38	0.33	0065	2F	15	5_9	norm2f_12	51	15	5	1500	5010	3510	0.33	3.34	2	6	4	873	357	1330	13	15
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.30	0.15	0065	2F	24	1_1	norm2f_12	24	47	7	4700	17610	12910	0.15	3.75	6	24	18	2314	1271	4080	20	46
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.56	0.33	0065	2T	15	3_12	norm2t_3	6	35	11	3500	10850	7350	0.31	3.10	4	14	10	944	412	1740	18	33
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.60	0.45	0065	3F	123	7_11	norm3f_123	123	56	24	5600	7700	2100	0.43	1.38	7	10	3	315	107	620	20	53
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.46	0.44	0065	3F	134	5_10	norm3f_12	14	18	8	1800	4410	2610	0.44	2.45	2	6	4	551	211	890	13	18
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.83	0.86	0065	3T	1=	4_3	form3t8_23	42	56	6	5600	13400	7800	0.11	2.39	7	18	11	2233	536	2780	6	7
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.43	0.21	0065	3T	123	3_12	norm3t_0	0	67	14	6700	11230	4530	0.21	1.68	9	15	6	802	274	1420	23	66
28	turn+raceno	entry	filter_bayes	f_e_turn+racen	0.50	0.28	0065	3T	123	7_11	norm3t_0	0	56	15	5600	10060	4460	0.27	1.80	7	13	6	652	243	1220	20	53
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.55	0.44	0066	1T	3	1_1	norm1t_23	31	68	29	6800	9090	2290	0.43	1.34	9	12	3	313	181	790	22	59
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.57	0.42	0066	1T	4	3_1	norm1t_23	42	72	30	7200	11000	3800	0.42	1.53	9	15	6	359	227	1060	23	66
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.52	0.33	0066	1T	5	4_1	norm1t_23	55	67	20	6700	14980	8280	0.30	2.24	9	20	11	737	713	2350	21	58
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.74	0.47	0066	2F	12	3_4	norm2f_12	12	100	46	10000	12590	2590	0.46	1.26	13	17	4	268	86	560	23	93
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.58	0.50	0066	2F	13	3_3	norm2f_12	13	57	25	5700	7510	1810	0.44	1.32	7	10	3	294	119	650	19	42
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.45	0.29	0066	2F	15	7_7	norm2f_12	51	21	6	2100	5710	3610	0.29	2.72	2	7	5	952	284	1350	11	21
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.60	0.49	0066	2T	12	1_else	norm2t_3	2	42	20	4200	6080	1880	0.48	1.45	5	8	3	300	148	710	20	41
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.55	0.41	0066	2T	12	4_1	norm2t_3	4	66	24	6600	9180	2580	0.36	1.39	9	12	3	368	122	650	22	58
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.60	0.47	0066	2T	12	7_7	norm2t_3	4	53	25	5300	6840	1540	0.47	1.29	7	9	2	270	74	520	20	53
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.62	0.38	0066	2T	13	7_4	norm2t_3	5	52	19	5200	7670	2470	0.37	1.48	7	10	3	400	163	880	21	50
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.54	0.25	0066	2T	14	7_4	norm2t_3	5	78	18	7800	13230	5430	0.23	1.70	10	18	8	691	309	1700	24	73
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.35	0.28	0066	2T	15	4_else	norm2t_3	6	26	7	2600	6030	3430	0.27	2.32	3	8	5	861	364	1340	17	25
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.41	0.19	0066	2T	16	3_1	norm2t_3	3	48	10	4800	9510	4710	0.21	1.98	6	13	7	951	387	1570	22	47
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.46	0.21	0066	2T	21	2_1	norm2t_3	1	73	15	7300	12960	5660	0.21	1.78	10	17	7	833	450	1700	24	71
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.36	0.25	0066	2T	32	5_3	norm2t_3	3	20	5	2000	9320	7320	0.25	4.66	2	12	10	1864	760	2560	14	20
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.57	0.44	0066	3F	123	7_3	norm3f_12	32	41	18	4100	6410	2310	0.44	1.56	5	8	3	383	216	860	21	41
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.38	0.22	0066	3F	125	7_4	norm3f_12	12	53	11	5300	8550	3250	0.21	1.61	7	11	4	783	303	1230	21	50
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.41	0.21	0066	3F	126	7_3	norm3f_12	21	53	11	5300	11200	5900	0.21	2.11	7	15	8	977	589	2150	22	53
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.74	0.70	0066	1T	1	3_1	norm1t_23	33	75	54	7500	9330	1830	0.72	1.24	10	12	2	168	98	720	23	70
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.71	0.80	0066	1T	1	4_1	norm1t_23	44	66	52	6600	9600	3000	0.79	1.45	9	13	4	182	151	930	21	59
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.67	0.49	0066	1T	2	2_1	norm1t_23	11	73	36	7300	11520	4220	0.49	1.58	10	15	5	304	242	1180	24	71
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.36	0.33	0066	1T	4	2_else	norm1t_23	32	21	7	2100	4880	2780	0.33	2.32	2	6	4	697	285	1050	14	21
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.47	0.38	0066	1T	4	7_3	norm1t_23	26	26	10	2600	7020	4420	0.38	2.70	3	9	6	602	460	1590	15	26
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.67	0.53	0066	3T	13=	3_5	form3t4_3	5	72	9	7200	13560	6360	0.13	1.88	9	18	9	1446	686	2460	12	17
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.25	0.17	0066	3T	142	3_4	norm3t_0	0	24	4	2400	8680	6280	0.17	3.62	3	11	8	1952	478	2420	16	23
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.69	0.63	0066	2T	1=	3_2	form2t2_23	43	38	12	3800	6610	2810	0.32	1.74	5	9	4	551	146	840	16	19
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.57	0.44	0066	3F	123	7_3	norm3f_123	321	41	18	4100	6410	2310	0.44	1.56	5	8	3	383	216	860	21	41
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.38	0.22	0066	3F	125	7_4	norm3f_123	125	53	11	5300	8550	3250	0.21	1.61	7	11	4	783	303	1230	21	50
29	turn+racetype	entry	filter_bayes	f_e_turn+racet	0.41	0.21	0066	3F	126	7_3	norm3f_123	216	53	11	5300	11200	5900	0.21	2.11	7	15	8	977	589	2150	22	53
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.54	0.36	0067	2T	2=	1_B1	form2t2_23	31	124	22	12400	21920	9520	0.18	1.77	17	30	13	955	799	3170	24	58
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.54	0.37	0067	3F	123	4_A1	norm3f_123	132	151	54	15100	18610	3510	0.36	1.23	20	25	5	336	182	1100	24	130
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.50	0.24	0067	3F	125	7_A1	norm3f_12	12	109	23	10900	16080	5180	0.21	1.48	14	22	8	676	377	1650	22	95
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.50	0.24	0067	3F	125	7_A1	norm3f_123	125	109	23	10900	16080	5180	0.21	1.48	14	22	8	676	377	1650	22	95
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.41	0.26	0067	3F	135	7_A1	norm3f_123	315	36	9	3600	9500	5900	0.25	2.64	4	13	9	1060	634	2220	17	34
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.71	0.71	0067	1T	1	1_A2	norm1t_23	46	48	34	4800	5810	1010	0.71	1.21	6	7	1	169	52	290	21	45
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.52	0.75	0067	1T	1	7_A2	norm1t_23	42	111	85	11100	11850	750	0.77	1.07	15	16	1	139	33	230	23	101
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.63	0.76	0067	1T	1	7_A2	norm1t_23	45	79	61	7900	8620	720	0.77	1.09	10	11	1	141	38	270	24	71
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.50	0.45	0067	1T	2	3_B1	norm1t_23	13	78	36	7800	9940	2140	0.46	1.27	10	13	3	268	161	820	22	73
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.57	0.49	0067	1T	2	3_B1	norm1t_23	26	39	19	3900	5600	1700	0.49	1.44	5	7	2	289	154	600	21	39
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.50	0.51	0067	1T	2	7_B1	norm1t_23	13	42	22	4200	6870	2670	0.52	1.64	5	9	4	305	229	970	20	39
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.42	0.19	0067	2F	16	2_A2	norm2f_12	16	149	25	14900	20700	5800	0.17	1.39	20	28	8	784	529	2070	24	122
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.58	0.30	0067	2F	23	1_B1	norm2f_12	23	211	55	21100	28610	7510	0.26	1.36	28	39	11	510	338	1950	24	180
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.92	0.76	0067	1T	1	1_B1	norm1t_23	22	21	16	2100	3430	1330	0.76	1.63	2	4	2	214	74	310	12	21
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.71	0.65	0067	1T	1	1_B1	norm1t_23	23	34	22	3400	4990	1590	0.65	1.47	4	6	2	225	115	600	17	34
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.52	0.70	0067	1T	1	3_A2	norm1t_23	23	74	52	7400	8640	1240	0.70	1.17	10	11	1	159	64	440	23	69
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.57	0.64	0067	1T	1	3_A2	norm1t_23	62	44	29	4400	5240	840	0.66	1.19	6	7	1	177	59	310	23	42
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.44	0.43	0067	2T	14	1_B1	norm2t_3	4	24	10	2400	5010	2610	0.42	2.09	3	6	3	508	213	930	16	23
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.42	0.26	0067	2T	23	1_B1	norm2t_3	1	62	15	6200	15400	9200	0.24	2.48	8	21	13	965	712	2860	24	58
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.54	0.37	0067	3F	123	4_A1	norm3f_12	13	151	54	15100	18610	3510	0.36	1.23	20	25	5	336	182	1100	24	130
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.41	0.26	0067	3F	135	7_A1	norm3f_12	31	36	9	3600	9500	5900	0.25	2.64	4	13	9	1060	634	2220	17	34
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.46	0.18	0067	3T	132	4_A1	norm3t_0	0	151	24	15100	19960	4860	0.16	1.32	20	27	7	822	335	1650	24	130
27	turn+level1	entry	filter_bayes	f_e_turn+level	0.48	0.17	0067	3T	132	7_A2	norm3t_0	0	104	16	10400	18240	7840	0.15	1.75	14	25	11	1140	604	2670	23	96
23	racetype	entry	filter_bayes	f_e_racetype	0.50	0.71	0068	1T	1	3	norm1t_23	62	154	110	15400	17760	2360	0.71	1.15	21	24	3	160	92	880	24	140
23	racetype	entry	filter_bayes	f_e_racetype	0.42	0.23	0068	1T	5	1	norm1t_23	35	162	34	16200	27780	11580	0.21	1.71	22	38	16	795	937	3780	24	146
23	racetype	entry	filter_bayes	f_e_racetype	0.58	0.19	0068	2F	16	else	norm2f_12	16	667	93	66700	77130	10430	0.14	1.16	91	105	14	810	688	3730	24	430
23	racetype	entry	filter_bayes	f_e_racetype	0.41	0.15	0068	2F	23	5	norm2f_12	32	67	9	6700	17940	11240	0.13	2.68	9	24	15	1993	796	3390	22	62
23	racetype	entry	filter_bayes	f_e_racetype	0.52	0.34	0068	2T	12	5	norm2t_3	4	93	30	9300	11300	2000	0.32	1.22	12	15	3	365	141	770	23	88
23	racetype	entry	filter_bayes	f_e_racetype	0.50	0.38	0068	2T	13	5	norm2t_3	6	55	20	5500	11490	5990	0.36	2.09	7	15	8	575	445	1410	20	53
